"filmcategory","film_id","film_name","release_year","language_id","rental_duration","rental_rate","length","rating","film_actor","customer_id","payment"
"Documentary",1,"Academy Dinosaur",2006,1,6,"0.99",86,"PG","Christian Gable, Johnny Cage, Lucille Tracy, Mary Keitel, Mena Temple, Oprah Kilmer, Penelope Guiness, Rock Dukakis, Sandra Peck, Warren Nolte",8,"0.99"
"Documentary",1,"Academy Dinosaur",2006,1,6,"0.99",86,"PG","Christian Gable, Johnny Cage, Lucille Tracy, Mary Keitel, Mena Temple, Oprah Kilmer, Penelope Guiness, Rock Dukakis, Sandra Peck, Warren Nolte",34,"0.99"
"Documentary",1,"Academy Dinosaur",2006,1,6,"0.99",86,"PG","Christian Gable, Johnny Cage, Lucille Tracy, Mary Keitel, Mena Temple, Oprah Kilmer, Penelope Guiness, Rock Dukakis, Sandra Peck, Warren Nolte",39,"0.99"
"Documentary",1,"Academy Dinosaur",2006,1,6,"0.99",86,"PG","Christian Gable, Johnny Cage, Lucille Tracy, Mary Keitel, Mena Temple, Oprah Kilmer, Penelope Guiness, Rock Dukakis, Sandra Peck, Warren Nolte",44,"0.99"
"Documentary",1,"Academy Dinosaur",2006,1,6,"0.99",86,"PG","Christian Gable, Johnny Cage, Lucille Tracy, Mary Keitel, Mena Temple, Oprah Kilmer, Penelope Guiness, Rock Dukakis, Sandra Peck, Warren Nolte",92,"0.99"
"Documentary",1,"Academy Dinosaur",2006,1,6,"0.99",86,"PG","Christian Gable, Johnny Cage, Lucille Tracy, Mary Keitel, Mena Temple, Oprah Kilmer, Penelope Guiness, Rock Dukakis, Sandra Peck, Warren Nolte",161,"0.99"
"Documentary",1,"Academy Dinosaur",2006,1,6,"0.99",86,"PG","Christian Gable, Johnny Cage, Lucille Tracy, Mary Keitel, Mena Temple, Oprah Kilmer, Penelope Guiness, Rock Dukakis, Sandra Peck, Warren Nolte",170,"0.99"
"Documentary",1,"Academy Dinosaur",2006,1,6,"0.99",86,"PG","Christian Gable, Johnny Cage, Lucille Tracy, Mary Keitel, Mena Temple, Oprah Kilmer, Penelope Guiness, Rock Dukakis, Sandra Peck, Warren Nolte",252,"0.99"
"Documentary",1,"Academy Dinosaur",2006,1,6,"0.99",86,"PG","Christian Gable, Johnny Cage, Lucille Tracy, Mary Keitel, Mena Temple, Oprah Kilmer, Penelope Guiness, Rock Dukakis, Sandra Peck, Warren Nolte",279,"3.99"
"Documentary",1,"Academy Dinosaur",2006,1,6,"0.99",86,"PG","Christian Gable, Johnny Cage, Lucille Tracy, Mary Keitel, Mena Temple, Oprah Kilmer, Penelope Guiness, Rock Dukakis, Sandra Peck, Warren Nolte",301,"0.99"
